timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2023-05-28 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,19.6,0.1,51,Drizzle,13,Sunday,True,1.0
2023-05-28 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.5,0.1,51,Drizzle,15,Sunday,True,1.0
2023-05-29 11:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.4,0.1,51,Drizzle,11,Monday,False,1.0
2023-05-29 14:00:00,0.0,0.0,0.0,0.0,0.0,2.0,19.8,0.0,3,Overcast,14,Monday,False,2.0
2023-05-29 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.7,0.0,3,Overcast,15,Monday,False,1.0
2023-05-29 19:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.8,0.0,3,Overcast,19,Monday,False,1.0
2023-05-31 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.6,0.2,51,Drizzle,7,Wednesday,False,1.0
2023-05-31 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,23.7,0.1,51,Drizzle,15,Wednesday,False,1.0
2023-05-31 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.9,0.0,3,Overcast,22,Wednesday,False,1.0
2023-06-03 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.3,0.0,3,Overcast,15,Saturday,True,1.0
2023-06-05 11:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.3,0.0,3,Overcast,11,Monday,False,1.0
2023-06-05 17:00:00,0.0,0.0,0.0,0.0,0.0,1.0,20.8,0.0,0,Clear sky,17,Monday,False,1.0
2023-06-05 18:00:00,0.0,0.0,0.0,0.0,0.0,2.0,20.1,0.0,0,Clear sky,18,Monday,False,2.0
2023-06-06 04:00:00,0.0,0.0,0.0,0.0,3.0,8.0,16.4,0.0,3,Overcast,4,Tuesday,False,11.0
2023-06-06 05:00:00,0.0,0.0,0.0,0.0,2.0,9.0,16.4,0.0,3,Overcast,5,Tuesday,False,11.0
2023-06-06 10:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.3,0.0,1,Mainly clear,10,Tuesday,False,1.0
2023-06-06 17:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.3,0.0,0,Clear sky,17,Tuesday,False,1.0
2023-06-06 22:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.8,0.0,0,Clear sky,22,Tuesday,False,1.0
2023-06-07 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,22.3,0.0,1,Mainly clear,12,Wednesday,False,1.0
2023-06-07 13:00:00,0.0,0.0,0.0,0.0,1.0,2.0,22.4,0.0,0,Clear sky,13,Wednesday,False,3.0
2023-06-08 10:00:00,0.0,0.0,0.0,0.0,0.0,2.0,21.4,0.0,1,Mainly clear,10,Thursday,False,2.0
2023-06-09 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.4,0.0,3,Overcast,7,Friday,False,1.0
2023-06-10 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,3,Overcast,7,Saturday,True,1.0
2023-06-12 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.2,51,Drizzle,7,Monday,False,1.0
2023-06-13 07:00:00,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,3,Overcast,7,Tuesday,False,3.0
2023-06-13 08:00:00,0.0,0.0,0.0,0.0,0.0,2.0,19.5,0.0,3,Overcast,8,Tuesday,False,2.0
2023-06-13 11:00:00,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,3,Overcast,11,Tuesday,False,5.0
2023-06-13 13:00:00,0.0,0.0,0.0,0.0,1.0,2.0,22.7,0.0,3,Overcast,13,Tuesday,False,3.0
